id,int_1,char_1,json_1,device_id_id
1,7,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
2,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
3,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
4,7,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
5,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
6,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
7,7,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",2
8,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
9,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
10,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
11,202500000,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
12,202500000,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
13,202500000,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
14,202500000,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
15,202500000,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
16,202500000,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
17,2025000001,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
18,2025000001,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
19,2025000001,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
20,312145934,success,"{""tags"": [""30181357411342C0000000A0"", ""30181357411342C0000000A1""], ""timestamp"": ""2025-03-12T15:00:25Z""}",1
21,313042431,success,"{""tags"": [""2D51C12218377DE400000011"", ""2D51C12218377DE400000008"", ""2D51C12218377DE400000010"", ""2D51C12218377DE400000009"", ""2D51C12218377DE40000000A""], ""timestamp"": ""2025-03-13T04:26:01Z""}",1
22,313042617,success,"{""tags"": [""2D51C12218377DE40000000A"", ""2D51C12218377DE400000011"", ""2D51C12218377DE400000008"", ""2D51C12218377DE400000009"", ""2D51C12218377DE400000010""], ""timestamp"": ""2025-03-13T04:26:45Z""}",1
23,313045651,success,"{""tags"": [""2D51C12218377DE400000008"", ""2D51C12218377DE400000011"", ""2D51C12218377DE400000010"", ""2D51C12218377DE400000009"", ""2D51C12218377DE40000000F"", ""2D51C12218377DE40000000B"", ""2D51C12218377DE40000000A""], ""timestamp"": ""2025-03-13T04:57:02Z""}",1
24,313092111,success,"{""tags"": [""2D51C12218377DE400000009"", ""2D51C12218377DE40000000A"", ""2D51C12218377DE40000000B""], ""timestamp"": ""2025-03-13T09:23:03Z""}",1
25,313092111,success,"{""tags"": [""2D51C12218377DE400000009"", ""2D51C12218377DE40000000A"", ""2D51C12218377DE40000000B""], ""timestamp"": ""2025-03-13T09:23:14Z""}",1
26,313095129,success,"{""tags"": [""2D51C12218377DE400000010"", ""2D51C12218377DE40000000F"", ""2D51C12218377DE400000011"", ""2D51C12218377DE40000000A"", ""2D51C12218377DE40000000B"", ""2D51C12218377DE400000008""], ""timestamp"": ""2025-03-13T09:51:59Z""}",1
27,313104732,success,"{""tags"": [""2D51C12218377DE400000011"", ""2D51C12218377DE400000010"", ""2D51C12218377DE400000008"", ""2D51C12218377DE40000000B"", ""2D51C12218377DE400000009"", ""2D51C12218377DE40000000A""], ""timestamp"": ""2025-03-13T10:47:43Z""}",1
28,314062907,success,"{""tags"": [""301809C302D6B780000000B8""], ""timestamp"": ""2025-03-14T06:36:47Z""}",1
29,314071046,success,"{""tags"": [""301809C302D6B780000000B8"", ""2D51C12218377DE400000017"", ""301809C302D6B780000000B5""], ""timestamp"": ""2025-03-14T07:11:58Z""}",1
30,314071245,success,"{""tags"": [""301809C302D6B780000000B6"", ""2D51C12218377DE400000015"", ""301809C302D6B780000000B5""], ""timestamp"": ""2025-03-14T07:13:14Z""}",1
31,314071343,success,"{""tags"": [""2D51C12218377DE400000015"", ""2D51C12218377DE400000017""], ""timestamp"": ""2025-03-14T07:14:24Z""}",1
32,314071857,success,"{""tags"": [""2D500000EBECFE3400000003"", ""301809C302D6B780000000B5"", ""2D51C12218377DE400000015"", ""301809C302D6B780000000B4"", ""301809C302D6B780000000B8""], ""timestamp"": ""2025-03-14T07:19:19Z""}",1
33,314072058,success,"{""tags"": [""301809C302D6B780000000B4"", ""301809C302D6B780000000B5"", ""2D51C12218377DE400000015"", ""2D51C12218377DE400000016""], ""timestamp"": ""2025-03-14T07:22:38Z""}",1
34,314072801,success,"{""tags"": [""2D51C12218377DE400000015"", ""301809C302D6B780000000B6"", ""2D51C12218377DE400000017"", ""2D51C12218377DE400000016"", ""301809C302D6B780000000B3"", ""3018520782AC5380000000BA""], ""timestamp"": ""2025-03-14T07:29:09Z""}",1
35,314073225,success,"{""tags"": [""301809C302D6B780000000B3"", ""2D51C12218377DE400000016"", ""3018520782AC5380000000BA"", ""2D51C12218377DE400000017"", ""3018520782AC5380000000BC""], ""timestamp"": ""2025-03-14T07:33:19Z""}",1
36,314073321,success,"{""tags"": [""301809C302D6B780000000B3"", ""3018520782AC5380000000BA"", ""3018520782AC5380000000BC"", ""2D51C12218377DE400000016"", ""2D51C12218377DE400000017""], ""timestamp"": ""2025-03-14T07:33:25Z""}",1
37,314073351,success,"{""tags"": [""301809C302D6B780000000B7"", ""2D51C12218377DE400000016"", ""2D51C12218377DE400000017"", ""301809C302D6B780000000B3"", ""3018520782AC5380000000BA""], ""timestamp"": ""2025-03-14T07:33:59Z""}",1
38,314073424,success,"{""tags"": [""301809C302D6B780000000B8"", ""2D51C12218377DE400000016"", ""301809C302D6B780000000B7"", ""2D51C12218377DE400000017"", ""301809C302D6B780000000B3""], ""timestamp"": ""2025-03-14T07:34:43Z""}",1
39,314073511,success,"{""tags"": [""301809C302D6B780000000B8"", ""2D51C12218377DE400000016"", ""2D51C12218377DE400000015"", ""301809C302D6B780000000B7"", ""3018520782AC5380000000BA"", ""2D51C12218377DE400000017"", ""301809C302D6B780000000B3"", ""301809C302D6B780000000B9""], ""timestamp"": ""2025-03-14T07:36:57Z""}",1
40,314073743,success,"{""tags"": [""301809C302D6B780000000B7"", ""2D51C12218377DE400000016"", ""2D51C12218377DE400000015"", ""3018520782AC5380000000BA"", ""301809C302D6B780000000B8"", ""301809C302D6B780000000B9"", ""2D51C12218377DE400000017"", ""301809C302D6B780000000B3"", ""301809C302D6B780000000B5""], ""timestamp"": ""2025-03-14T07:37:58Z""}",1
41,314093239,success,"{""tags"": [""301809C302D6B780000000B1""], ""timestamp"": ""2025-03-14T09:32:50Z""}",1
42,314093355,success,"{""tags"": [], ""timestamp"": ""2025-03-14T09:37:14Z""}",1
43,314094013,success,"{""tags"": [""301809C302D6B780000000B7"", ""301809C302D6B780000000B8""], ""timestamp"": ""2025-03-14T09:46:39Z""}",1
44,314094904,success,"{""tags"": [], ""timestamp"": ""2025-03-14T09:49:23Z""}",1
45,314095023,success,"{""tags"": [""301809C302D6B780000000B8""], ""timestamp"": ""2025-03-14T09:51:16Z""}",1
46,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
47,5,success,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",1
48,314123932,success,"{""tags"": [""2D5000249BAEB670000000E7"", ""2D5000249BA40368000000F0"", ""2D5000249BAEB670000000E9"", ""2D5000249BAEB670000000E8"", ""2D5000249BAEB55C000000DC"", ""2D5000249BA40368000000EE"", ""2D5000249BA40368000000EF"", ""2D5000249BA40368000000F1"", ""2D5000249BAEB55C000000DD"", ""2D5000249BAEB670000000E6"", ""2D5000249BAEB55C000000DE"", ""2D5000249BAEB55C000000D8"", ""2D5000249BAEB670000000E4"", ""2D5000249BAEB55C000000DB"", ""2D5000249BAEB55C000000DF"", ""2D5000249BA40368000000EC"", ""2D5000249BAEB55C000000DA"", ""2D5000249BA40368000000ED"", ""2D5000249BAEB670000000E3"", ""2D5000249BAEB670000000EA"", ""2D5000249BAEB55C000000D9"", ""2D5000249BAEB670000000EB"", ""2D5000249BAEB670000000E2"", ""2D5000249BAEB55C000000E1"", ""2D5000249BB56AE0000000D1"", ""2D5000249BB56AE0000000D2"", ""2D5000249BB56AE0000000CE"", ""2D5000249BB56AE0000000CF"", ""30183DAF808FAFC0000000CC"", ""30183DAF808FAFC0000000CD"", ""2D5000249BA40368000000F2"", ""2D5000249BB56AE0000000D0"", ""2D5000249BB56AE0000000D3"", ""2D5000249BA40368000000F3""], ""timestamp"": ""2025-03-14T12:39:35Z""}",1
